LAT,LON,YEAR,MO,DY,PRECTOT,QV2M,RH2M,PS,TS,T2MDEW,T2MWET,T2M_MAX,T2M_MIN,T2M,WS10M,WS50M,WS10M_MAX,WS50M_MAX,WS50M_MIN,WS10M_MIN,ALLSKY_SFC_LW_DWN
14.10001,77.28001,1997,1,1,0,0.009282,65.94,95.23,19.52,12.09,12.09,26.56,11.59,18.59,3.96,6.28,5.76,8.24,3.81,2.49,8.3
14.10001,77.28001,1997,1,2,0,0.009038,61.9,95.17,20.27,11.63,11.63,27.61,12.54,19.17,2.91,4.8,4.15,6.25,2.22,2.04,8.04
14.10001,77.28001,1997,1,3,0,0.009616,61.47,95.04,21.46,12.57,12.57,29.32,12.86,20.25,2.49,4.27,3.56,6.77,1.29,1.4,8.09
14.10001,77.28001,1997,1,4,0,0.009687,60.68,95.03,21.85,12.69,12.69,29.08,13.76,20.58,2.55,3.99,4.63,8.27,1.17,1.3,8.19
14.10001,77.28001,1997,1,5,0,0.009632,62.05,95.03,21.44,12.6,12.6,28.23,14.02,20.12,3.99,5.84,5.08,8.61,3.02,2.98,8.15
14.10001,77.28001,1997,1,6,0,0.00933,62.04,95.1,20.76,12.11,12.11,27.23,13.88,19.63,4.71,6.71,6.42,8.71,4.76,3.18,8.12
14.10001,77.28001,1997,1,7,0,0.008921,59.75,95.1,20.66,11.16,11.17,27.74,12.75,19.52,3.87,6,5.72,8.57,3.6,2.85,8.02
14.10001,77.28001,1997,1,8,0.07,0.011505,69.17,95.09,22.5,15.35,15.35,28.87,16.13,21.24,4.79,6.71,6.13,8.49,5.53,2.63,8.87
14.10001,77.28001,1997,1,9,0.09,0.011622,70.21,95.07,22.48,15.51,15.51,28.31,15.28,21.16,4.28,5.99,5.97,8.15,4.3,2.34,8.9
14.10001,77.28001,1997,1,10,0.27,0.012866,70.9,95.11,24.09,17.08,17.08,29.29,17.83,22.66,4.64,6.3,6.02,7.82,5.22,3.26,9.46
14.10001,77.28001,1997,1,11,0.7,0.012451,68.04,95.16,24.31,16.55,16.55,29.81,18.09,22.81,4.27,5.91,5.76,8.44,4.45,3.04,9.49
14.10001,77.28001,1997,1,12,0.21,0.012311,68.69,95.11,24.04,16.39,16.39,28.98,17.85,22.46,3.98,5.52,5.24,7.27,3.94,2.97,8.8
14.10001,77.28001,1997,1,13,0.07,0.012943,68.83,95,25.02,17.17,17.17,29.47,18.06,23.23,2.96,4.23,4.39,5.72,1.39,1.36,8.61
14.10001,77.28001,1997,1,14,1.74,0.012907,66.89,94.97,25.66,17.11,17.11,30.3,18.44,23.65,2.36,3.55,3.84,5.6,0.65,0.74,9.29
14.10001,77.28001,1997,1,15,3.09,0.013062,69.64,94.94,24.87,17.31,17.31,29.82,18.38,23.17,2.68,4.14,4.18,6.75,1.3,1.48,8.89
14.10001,77.28001,1997,1,16,1.31,0.012608,70.2,94.98,24.02,16.77,16.77,29.2,17.17,22.47,3.2,4.85,4.2,7.49,3.32,1.78,8.55
14.10001,77.28001,1997,1,17,0.13,0.012291,68.24,95.03,23.99,16.35,16.35,29.06,17.62,22.53,4.29,5.93,6.05,7.99,4.56,2.41,8.99
14.10001,77.28001,1997,1,18,1.05,0.011842,66.99,95.14,23.75,15.8,15.8,28.78,17.91,22.24,3.84,5.42,5.09,8.08,3.28,2.67,8.86
14.10001,77.28001,1997,1,19,0.42,0.011733,66.42,94.95,23.88,15.63,15.63,28.92,17.11,22.2,2.74,4.26,4.66,6.28,0.37,0.32,8.9
14.10001,77.28001,1997,1,20,0,0.010225,56.96,94.77,23.68,13.31,13.32,30.89,16.18,22.45,3.67,5.56,4.81,8.42,4.2,2.06,8.09
14.10001,77.28001,1997,1,21,0,0.010682,59.19,94.75,24.04,14.06,14.06,30.83,16.45,22.52,2.88,4.36,4.51,7.82,2.59,1.57,8.11
14.10001,77.28001,1997,1,22,0,0.008953,53.31,94.91,22.45,11.42,11.42,29.71,14.35,21.39,3.15,4.59,4.69,8.46,1.43,0.93,7.91
14.10001,77.28001,1997,1,23,0,0.00648,42.1,94.98,21.29,5.57,5.63,29.66,12.84,20.01,3.32,5.12,4.21,7.28,3.23,2.51,7.43
14.10001,77.28001,1997,1,24,0,0.005775,36.06,94.84,21.54,4.55,4.59,31.08,11.52,20.64,3.79,5.96,4.77,8.38,4.34,2.92,7.87
14.10001,77.28001,1997,1,25,0,0.008581,49.66,94.79,23.24,10.54,10.55,31.49,13.37,21.84,3.85,6.02,5.22,8.94,3.76,2.77,7.97
14.10001,77.28001,1997,1,26,0,0.00921,52.95,94.95,23.64,11.72,11.72,31.05,14.82,21.97,4.16,5.98,5.29,8.71,4.21,3.27,8.27
14.10001,77.28001,1997,1,27,0,0.009951,56.2,94.97,24.04,13,13,31.11,15.18,22.26,4.32,6,5.88,8.84,3.61,2.93,8.62
14.10001,77.28001,1997,1,28,0,0.009473,55.06,94.92,23.34,12.17,12.17,30.37,15.36,21.78,4.87,6.7,6.64,8.71,4.99,2.88,8.03
14.10001,77.28001,1997,1,29,0,0.008565,51.14,94.94,22.97,10.71,10.71,30.3,13.72,21.36,4.45,6.46,5.52,8.87,4.48,3.15,8.05
14.10001,77.28001,1997,1,30,0,0.006665,40.92,94.89,22.48,6.68,6.71,30.34,12.65,20.91,4.05,6.15,5.49,8.95,3.89,2.8,7.41
14.10001,77.28001,1997,1,31,0,0.007086,40.77,94.75,23.86,7.91,7.92,31.45,13.04,21.94,3.79,5.73,5.23,8.63,2.91,2.69,8.24
14.10001,77.28001,1997,2,1,0,0.00764,41.85,94.76,24.69,9,9.01,32.03,14.5,22.75,3.61,5.58,4.4,8.14,2.57,2.52,8.13
14.10001,77.28001,1997,2,2,0,0.008184,43.33,94.61,24.95,9.96,9.97,32.72,14.51,23.28,2.49,3.83,4.52,6.75,1.74,1.55,8.15
14.10001,77.28001,1997,2,3,0,0.007771,40.81,94.53,25.05,8.99,9,32.9,15,23.41,2.42,3.64,3.82,5.89,1.93,1.18,8.06
14.10001,77.28001,1997,2,4,0,0.008076,42.13,94.62,25.81,9.63,9.64,32.94,14.71,23.53,2.11,3.45,3.56,6.85,0.64,0.76,8.39
14.10001,77.28001,1997,2,5,0,0.008734,43.77,94.71,26.32,10.72,10.73,33.42,15.83,24.2,3.26,5.04,5.38,9.01,2.42,2.35,8.54
14.10001,77.28001,1997,2,6,0,0.008593,42.04,94.81,27.09,10.55,10.56,34.05,15.97,24.63,2.67,4.37,4.39,7.27,1.09,1.13,8.77
14.10001,77.28001,1997,2,7,0,0.008006,38.08,94.81,27.17,9.51,9.52,34.41,17.15,25.1,2.39,3.57,4.42,7.49,0.4,0.58,8.76
14.10001,77.28001,1997,2,8,0,0.008308,40.06,94.66,26.84,9.5,9.52,34.63,16.61,24.85,2.26,3.35,3.42,5.88,0.73,0.32,8.87
14.10001,77.28001,1997,2,9,0,0.005664,28.66,94.56,25.25,3.85,3.92,34.04,14.85,24.05,2.72,4.01,3.89,5.94,0.88,0.52,8.24
14.10001,77.28001,1997,2,10,0,0.006032,30.99,94.57,25.54,4.81,4.86,34.08,14.02,23.79,2.64,4.08,3.87,6.44,1.36,1.29,8.68
14.10001,77.28001,1997,2,11,0,0.00854,42.97,94.76,26.03,10.44,10.45,33.41,15.68,24.15,3.37,5.13,4.9,8.43,2.03,1.68,9.09
